coefficient,base_value,perturbation_pct,perturbed_value,mean_abs_target_change
combat,0.22,-20.0,0.176,0.016786
combat,0.22,-10.0,0.198,0.008393
combat,0.22,10.0,0.242,0.008381
combat,0.22,20.0,0.264,0.016717
collect,0.18,-20.0,0.144,0.011884
collect,0.18,-10.0,0.162,0.005942
collect,0.18,10.0,0.198,0.005942
collect,0.18,20.0,0.216,0.011884
explore,0.15,-20.0,0.12,0.008652
explore,0.15,-10.0,0.135,0.004326
explore,0.15,10.0,0.165,0.004326
explore,0.15,20.0,0.18,0.008652
death,-0.25,-20.0,-0.2,0.00037
death,-0.25,-10.0,-0.225,0.000185
death,-0.25,10.0,-0.275,0.000185
death,-0.25,20.0,-0.3,0.00037
dc,0.55,-20.0,0.44,0.027528
dc,0.55,-10.0,0.495,0.013764
dc,0.55,10.0,0.605,0.013672
dc,0.55,20.0,0.66,0.026795
dcol,0.4,-20.0,0.32,0.015711
dcol,0.4,-10.0,0.36,0.007856
dcol,0.4,10.0,0.44,0.007856
dcol,0.4,20.0,0.48,0.015712
dexp,0.35,-20.0,0.28,0.012559
dexp,0.35,-10.0,0.315,0.006328
dexp,0.35,10.0,0.385,0.006361
dexp,0.35,20.0,0.42,0.012721
