trial_id,target_multiplier,multiplier_clamped,enemy_spawn_interval_value,enemy_spawn_interval_bound_check,global_enemy_cap_value,global_enemy_cap_bound_check,enemy_damage_intensity_value,enemy_damage_intensity_bound_check,enemy_max_health_value,enemy_max_health_bound_check,stamina_regen_value,stamina_regen_bound_check,stamina_damage_value,stamina_damage_bound_check,dash_cooldown_value,dash_cooldown_bound_check,collectible_count_value,collectible_count_bound_check,collectible_spawn_interval_value,collectible_spawn_interval_bound_check,collectible_lifetime_value,collectible_lifetime_bound_check,player_damage_intensity_value,player_damage_intensity_bound_check,player_max_health_value,player_max_health_bound_check
0,0.9816356798150419,false,42.11949854686973,unbounded,33.05234787348229,unbounded,9.550050487937321,unbounded,96.03311749979942,unbounded,13.614458143168893,unbounded,4.407079545072107,unbounded,2.644247727043264,unbounded,124.15074991591324,unbounded,38.6626742347591,unbounded,31.03768747897831,unbounded,16.299326042238697,unbounded,183.36741797518536,unbounded
1,0.9257795776117539,false,46.6788872888832,unbounded,29.590456063472452,unbounded,8.683953091844288,unbounded,87.98721628698938,unbounded,14.543949216208496,unbounded,4.125426946151121,unbounded,2.4752561676906724,unbounded,125.46160048152707,unbounded,38.258718058572434,unbounded,31.365400120381768,unbounded,17.282731642531385,unbounded,194.4307309784781,unbounded
2,1.002325163968116,false,40.54673865141193,unbounded,34.435833403985605,unbounded,9.891507285620252,unbounded,99.17856156432433,unbounded,13.352576091606887,unbounded,4.49351492838259,unbounded,2.696108957029554,unbounded,123.53204170623641,unbounded,38.856315606072236,unbounded,30.883010426559103,unbounded,15.962883678044582,unbounded,179.58244137800156,unbounded
3,1.0086601423030261,false,40.03499007908923,unbounded,34.91379468215414,unbounded,10.007150341713572,unbounded,100.2304055797691,unbounded,13.300647989564792,unbounded,4.511058412122013,unbounded,2.706635047273208,unbounded,123.2863568068298,unbounded,38.93374842376793,unbounded,30.82158920170745,unbounded,15.86262738950699,unbounded,178.45455813195363,unbounded
4,0.9600703167351448,false,43.821721121470844,unbounded,31.67182129543643,unbounded,9.20669504688336,unbounded,92.85496670976977,unbounded,13.917916684115704,unbounded,4.31099002543082,unbounded,2.586594015258492,unbounded,124.84224942075825,unbounded,38.448522213200974,unbounded,31.210562355189563,unbounded,16.665445979426035,unbounded,187.48626726854292,unbounded
5,0.972191054262,false,42.937424287278986,unbounded,32.36873910479115,unbounded,9.383553849889623,unbounded,94.51225188435698,unbounded,13.702584034992432,unbounded,4.378736145443616,unbounded,2.62724168726617,unbounded,124.55768729361064,unbounded,38.53636097694488,unbounded,31.13942182340266,unbounded,16.457670464933212,unbounded,185.14879273049863,unbounded
6,0.992221758531511,false,41.42769017838319,unbounded,33.63816575327924,unbounded,9.69985109647355,unbounded,97.44324394241862,unbounded,13.41401515550811,unbounded,4.472933667095388,unbounded,2.6837602002572325,unbounded,124.00441267932833,unbounded,38.70829994100819,unbounded,31.00110316983208,unbounded,16.12542746863364,unbounded,181.41105902212843,unbounded
7,0.9450057805612064,false,45.020039671645776,unbounded,30.76760608549007,unbounded,8.979119798642238,unbounded,90.73307400036202,unbounded,14.164090523526395,unbounded,4.236064426469223,unbounded,2.541638655881534,unbounded,125.3184695316262,unbounded,38.30241478323066,unbounded,31.32961738290655,unbounded,16.931113363664455,unbounded,190.4750253412251,unbounded
8,0.9251044072444816,false,46.938661154631,unbounded,29.400743849054923,unbounded,8.643307255199524,unbounded,87.64854618648582,unbounded,14.528535578949437,unbounded,4.1298037007208555,unbounded,2.4778822204325133,unbounded,125.20726610923258,unbounded,38.3364332531022,unbounded,31.301816527308144,unbounded,17.295345125052037,unbounded,194.57263265683542,unbounded
9,0.8566285349046452,false,52.560839666221135,unbounded,26.078099920472344,unbounded,7.76957130798722,unbounded,79.28914116199067,unbounded,15.987701155341489,unbounded,3.7528847591671433,unbounded,2.251730855500286,unbounded,129.06118960491122,unbounded,37.19166090669091,unbounded,32.265297401227805,unbounded,18.677874187066422,unbounded,210.12608460449724,unbounded
10,0.9351166617634643,false,46.06185550427785,unbounded,30.004717243197643,unbounded,8.795173573037989,unbounded,89.0637218195732,unbounded,14.294036439328321,unbounded,4.197554711342223,unbounded,2.5185328268053335,unbounded,125.3690489548732,unbounded,38.28696189382252,unbounded,31.3422622387183,unbounded,17.11016459681815,unbounded,192.4893517142042,unbounded
11,0.9909658782399791,false,41.34474742753947,unbounded,33.72458547720097,unbounded,9.713899545420546,unbounded,97.53051392816396,unbounded,13.523732454402893,unbounded,4.436645001836451,unbounded,2.6619870011018705,unbounded,123.78165548398029,unbounded,38.77795931256721,unbounded,30.945413870995072,unbounded,16.145863698573617,unbounded,181.6409666089532,unbounded
12,0.9688767413016359,false,43.04668802165501,unbounded,32.29151751584094,unbounded,9.358324876339559,unbounded,94.24413383674919,unbounded,13.826819947829714,unbounded,4.339392588200855,unbounded,2.6036355529205135,unbounded,124.45595141707409,unbounded,38.56786232676286,unbounded,31.113987854268522,unbounded,16.513968514204215,unbounded,185.78214578479745,unbounded
13,1.0018589048554032,false,40.56600668321891,unbounded,34.41941976759957,unbounded,9.88682539501535,unbounded,99.13178125723087,unbounded,13.366533242412464,unbounded,4.488822861683983,unbounded,2.6932937170103894,unbounded,123.52210433338941,unbounded,38.85944160281365,unbounded,30.880526083347352,unbounded,15.970312708164485,unbounded,179.66601796685046,unbounded
14,0.8548486477821935,false,52.801225586695146,unbounded,25.947008295012992,unbounded,7.737732523257898,unbounded,78.99883314170705,unbounded,16.037191920913873,unbounded,3.7413033588352125,unbounded,2.2447820153011273,unbounded,128.9629507154331,unbounded,37.21999204710799,unbounded,32.240737678858274,unbounded,18.71676353645778,unbounded,210.56358978515004,unbounded
